Continent,Location,Date,Population,New_Vaccinations,People_Vaccinated,Percent_People_Vaccinated,,,,,,,,,,
North America,United States,22-01-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,23-01-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,24-01-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,25-01-2020 00:00,336997624,,0,0,,,,,,,,Row Labels,Sum of Population,Sum of People_Vaccinated
North America,United States,26-01-2020 00:00,336997624,,0,0,,,,,,,,2020,116292506033,40668677
North America,United States,27-01-2020 00:00,336997624,,0,0,,,,,,,,2021,123040665975,107806968409
North America,United States,28-01-2020 00:00,336997624,,0,0,,,,,,,,2022,67753537894,114766214668
North America,United States,29-01-2020 00:00,336997624,,0,0,,,,,,,,Grand Total,307086709902,222613851754
North America,United States,30-01-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,31-01-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,01-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,02-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,03-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,04-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,05-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,06-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,07-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,08-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,09-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,10-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,11-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,12-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,13-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,14-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,15-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,16-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,17-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,18-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,19-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,20-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,21-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,22-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,23-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,24-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,25-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,26-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,27-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,28-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,29-02-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,01-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,02-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,03-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,04-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,05-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,06-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,07-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,08-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,09-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,10-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,11-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,12-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,13-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,14-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,15-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,16-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,17-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,18-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,19-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,20-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,21-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,22-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,23-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,24-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,25-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,26-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,27-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,28-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,29-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,30-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,31-03-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,01-04-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,02-04-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,03-04-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,04-04-2020 00:00,336997624,,0,0,,,,,,,,,,
North America,United States,05-04-2020 00:00,336997624,,0,0,,,,,,,,,,
