Continent,Location,Date,Population,New_Vaccinations,People_Vaccinated,Percent_People_Vaccinated,,,,,,,,,,
Asia,China,22-01-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,23-01-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,24-01-2020 00:00,1425893464,,0,0,,,,,,,,Row Labels,Sum of Population,Sum of People_Vaccinated
Asia,China,25-01-2020 00:00,1425893464,,0,0,,,,,,,,2020,491933245080,0
Asia,China,26-01-2020 00:00,1425893464,,0,0,,,,,,,,2021,520451114360,416799544700
Asia,China,27-01-2020 00:00,1425893464,,0,0,,,,,,,,2022,286604586264,633275054000
Asia,China,28-01-2020 00:00,1425893464,,0,0,,,,,,,,Grand Total,1298988945704,1050074598700
Asia,China,29-01-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,30-01-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,31-01-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,01-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,02-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,03-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,04-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,05-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,06-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,07-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,08-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,09-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,10-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,11-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,12-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,13-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,14-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,15-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,16-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,17-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,18-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,19-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,20-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,21-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,22-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,23-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,24-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,25-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,26-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,27-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,28-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,29-02-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,01-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,02-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,03-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,04-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,05-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,06-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,07-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,08-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,09-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,10-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,11-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,12-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,13-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,14-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,15-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,16-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,17-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,18-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,19-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,20-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,21-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,22-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,23-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,24-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,25-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,26-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,27-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,28-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,29-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,30-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,31-03-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,01-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,02-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,03-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,04-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,05-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,06-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,07-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,08-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,09-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,10-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,11-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,12-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,13-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,14-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,15-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,16-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
Asia,China,17-04-2020 00:00,1425893464,,0,0,,,,,,,,,,
